x   y   dx  dy
0	-0.300694399	0.0994	 0.03
0.03333333	-0.269330484	0.0994	 0.03 
0.06666667	-0.227041505	0.0994	 0.03 
0.1	-0.180032109	0.0994	 0.03 
0.1333333	-0.09011313	0.0994	 0.03 
0.1666667	-0.060625617	0.0994	 0.03 
0.2	0.019209233	0.0994	 0.03 
0.2333333	0.09209626	0.0994	 0.03 
0.2666667	0.146359855	0.0994	 0.03 
0.3	0.197708105	0.0994	 0.03 
0.3333333	0.245520876	0.0994	 0.03 
0.3666667	0.285308449	0.0994	 0.03 
0.4	0.314363992	0.0994	 0.03 
0.4333333	0.327869001	0.0994	 0.03 
0.4666667	0.313265482	0.0994	 0.03 
0.5	0.277202966	0.0994	 0.03 
0.5333333	0.233621396	0.0994	 0.03 
0.5666667	0.198667338	0.0994	 0.03 
0.6	0.150993896	0.0994	 0.03 
0.6333333	0.059930191	0.0994	 0.03 
0.6666667	0.010790962	0.0994	 0.03 
0.7	-0.044583162	0.0994	 0.03 
0.7333333	-0.112714236	0.0994	 0.03 
0.7666667	-0.142518194	0.0994	 0.03 
0.8	-0.199609816	0.0994	 0.03 
0.8333333	-0.247185048	0.0994	 0.03 
0.8666667	-0.307639413	0.0994	 0.03 
0.9	-0.314543761	0.0994	 0.03 
0.9333333	-0.328640437	0.0994	 0.03 
0.9666667	-0.323373033	0.0994	 0.03 
1	-0.290934693	0.0994	 0.03 
1.033333	-0.2811605	0.0994	 0.03 
1.066667	-0.22666783	0.0994	 0.03 
1.1	-0.162136515	0.0994	 0.03 
1.133333	-0.137014944	0.0994	 0.03 
1.166667	-0.061270115	0.0994	 0.03 
1.2	0.010378056	0.0994	 0.03 
1.233333	0.080417634	0.0994	 0.03 
1.266667	0.139343824	0.0994	 0.03 
1.3	0.177005359	0.0994	 0.03 
1.333333	0.203843112	0.0994	 0.03 
1.366667	0.237591497	0.0994	 0.03 
1.4	0.279361414	0.0994	 0.03 
1.433333	0.290174951	0.0994	 0.03 
1.466667	0.280647722	0.0994	 0.03 
1.5	0.269666285	0.0994	 0.03 
1.533333	0.246715554	0.0994	 0.03 
1.566667	0.206079228	0.0994	 0.03 
1.6	0.130253032	0.0994	 0.03 
1.633333	0.101968383	0.0994	 0.03 
1.666667	0.068427955	0.0994	 0.03 
1.7	-0.030242594	0.0994	 0.03 
1.733333	-0.133184609	0.0994	 0.03 
1.766667	-0.148620685	0.0994	 0.03 
1.8	-0.193479521	0.0994	 0.03 
